"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","vgpr","sgpr","fbar","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,0,0,37747,37747,112640,256,512,0,24,40,4288,"0x14816aa49200","0x14806a8d8b00",1918499165387372,1918499165414312,1918499167557994,1918499167620351,2143682
1,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,1,1,37747,37747,112640,256,512,16416,32,72,0,"0x14816aa48e80","0x14806a8d8b40",1918499174380592,1918499174706481,1918499177664723,1918499177745935,2958242
2,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,2,0,37747,37747,112640,256,512,0,24,40,4288,"0x14816aa48e80","0x14806a8d8b00",1918499178017869,1918499178034004,1918499180154006,1918499180233845,2120002
3,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,3,1,37747,37747,112640,256,512,16416,32,72,0,"0x14816aa49100","0x14806a8d8b40",1918499181319459,1918499181643927,1918499184626330,1918499184676415,2982403
4,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,0,1,37747,37747,112640,256,512,0,24,40,4288,"0x14816aa49100","0x14806a8d8b00",1918499184925305,1918499184938650,1918499187066172,1918499187124709,2127522
5,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,1,3,37747,37747,112640,256,512,16416,32,72,0,"0x14816aa48d80","0x14806a8d8b40",1918499188170146,1918499188495293,1918499191453536,1918499191510650,2958243
6,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,2,1,37747,37747,112640,256,512,0,24,40,4288,"0x14816aa48d80","0x14806a8d8b00",1918499191752497,1918499191765216,1918499193891618,1918499193924918,2126402
7,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,3,3,37747,37747,112640,256,512,16416,32,72,0,"0x14816aa48d00","0x14806a8d8b40",1918499194759458,1918499195086820,1918499198097862,1918499198155770,3011042
8,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,0,2,37747,37747,112640,256,512,0,24,40,4288,"0x14816aa48d00","0x14806a8d8b00",1918499198398168,1918499198409543,1918499200582665,1918499200628210,2173122
9,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,1,5,37747,37747,112640,256,512,16416,32,72,0,"0x14816aa48e00","0x14806a8d8b40",1918499201587661,1918499201912426,1918499204906829,1918499204955839,2994403
10,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,2,2,37747,37747,112640,256,512,0,24,40,4288,"0x14816aa48e00","0x14806a8d8b00",1918499205198547,1918499205210989,1918499207341551,1918499207390987,2130562
11,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,3,5,37747,37747,112640,256,512,16416,32,72,0,"0x14816aa48c00","0x14806a8d8b40",1918499208402569,1918499208730352,1918499211746675,1918499211796196,3016323
12,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,0,3,37747,37747,112640,256,512,0,24,40,4288,"0x14816aa48c00","0x14806a8d8b00",1918499212037121,1918499212049875,1918499214196117,1918499214242054,2146242
